issue_id,category,records_or_files,status,blocking_level,current_treatment,evidence,remaining_risk,required_action,owner,target_stage,notes
SOURCE-STAT-C08,source,STAT_C08,partially_resolved,non_blocking_preview,Mirror confirms value while official PDF awaits manual review,docs/source_verification_report.md,Original PDF not machine-readable,Open PDF manually,maintainer,formal_release,Value unchanged
SOURCE-PRICE-REMAINDER,"source",PRICE_M12;PRICE_C04;PRICE_M13;PRICE_M15,partially_resolved,non_blocking_preview,Conservative statuses retained,metadata/source_recovery_register.csv,Some page values unavailable,Manual/browser verification,maintainer,formal_release,Not all prices are pending
SOURCE-RENT-LISTINGS,source,RENT_C02;RENT_C07,partially_resolved,non_blocking_preview,Specific listings disclosed,docs/observation_comparability_audit.md,Not city averages,Collect city averages,maintainer,v0.2-candidate,No values changed
PRICE-M15-PROXY,method,PRICE_M15,resolved,informational,Geographic proxy uses C05 C08 M12,source register parent notes,Proxy not direct quotation,Retain disclosure,maintainer,preview,Resolved methodological limitation
INTRACITY-ZERO-DISTANCE,modeling,dc_market.csv,resolved,informational,8 same-city arcs analyzed,docs/intracity_zero_distance_sensitivity.md,Valid only at city aggregation,State modeling scope,maintainer,preview,No distance replacement
MIXED-TIME-BASIS,comparability,PRICE_*;RENT_*,resolved,informational,Comparability audit and warnings retained,docs/observation_comparability_audit.md,Cross-sectional claims limited,Disclose time basis,maintainer,preview,Not a data error
GEONAMES-LICENSE,third_party,SRC_GEONAMES_DATA,resolved,informational,CC BY 4.0 attribution documented,docs/third_party_data_and_attribution.md,Attribution must persist,Review on release,maintainer,formal_release,Resolved
OSM-ATTRIBUTION,third_party,SRC_OSM_DATA,resolved,informational,ODbL attribution documented,THIRD_PARTY_NOTICES.md,Scope review required,Retain attribution,maintainer,formal_release,Resolved
OSM-DERIVED-OUTPUT-SCOPE,third_party,SRC_OSM_DATA;SRC_OSRM_CACHE,partially_resolved,blocking_formal_release,Produced Work versus Derived Database not asserted,metadata/third_party_data_inventory.csv,Legal classification uncertain,Obtain legal review,maintainer,formal_release,Preview permitted
OSRM-SERVICE-TERMS,third_party,SRC_OSRM_DEMO_SERVICE,partially_resolved,non_blocking_preview,Demo terms recorded but not archived,metadata/third_party_data_inventory.csv,Terms may change,Archive terms or use self-hosted OSRM,maintainer,formal_release,No network used
REPOSITORY-LICENSE,release,LICENSE-CODE;LICENSE-DATA,open,blocking_formal_release,No blanket repository license asserted,LICENSE-CODE;LICENSE-DATA,Reuse permissions may be unclear,Choose and add licenses,maintainer,formal_release,Separate code/data terms
CARBON-QUOTA,modeling,case_config.json,open,blocking_model_execution,carbon_quota remains not_yet_generated,docs/carbon_quota_generation_protocol.md,Quota-dependent runs cannot execute,Generate externally with recorded artifact,model owner,model_execution,Never guess quota
