third_party_id,component_name,component_type,publisher,source_url,terms_url,license_name,license_version,attribution_required,recommended_attribution,commercial_use,modification_allowed,redistribution_status,repository_paths,derived_outputs,verification_status,checked_at,notes
SRC_GEONAMES_DATA,GeoNames city-centre coordinates,data,GeoNames / Unxos GmbH,https://www.geonames.org/export/,https://www.geonames.org/export/,Creative Commons Attribution,4.0,true,GeoNames geographical data,terms_review_required,terms_review_required,allowed_with_attribution,data/raw/public/nodes_raw.csv;data/source_records/source_records.csv,data/processed/v0.1.0-preview/nodes.csv,verified_metadata_only,2026-08-02,Coordinates are WGS84 city-centre points, not enterprise or warehouse addresses.
SRC_OSM_DATA,OpenStreetMap road data,data,OpenStreetMap contributors / OpenStreetMap Foundation,https://www.openstreetmap.org/,https://www.openstreetmap.org/copyright,Open Data Commons Open Database License,1.0,true,OpenStreetMap contributors,terms_review_required,terms_review_required,attribution_required_scope_review,data/cache/osrm_response.json,data/processed/v0.1.0-preview/supplier_dc.csv;data/processed/v0.1.0-preview/dc_market.csv,verified_metadata_only,2026-08-02,Repository does not redistribute the complete OSM database; precise Produced Work/Derived Database classification is not asserted.
SRC_OSRM_SOFTWARE,OSRM routing software,software,Project OSRM,https://github.com/Project-OSRM/osrm-backend,https://github.com/Project-OSRM/osrm-backend,BSD-2-Clause,,false,,not_redistributed,retain_license_notice,not_redistributed_as_software,none,route-distance computation,verified_metadata_only,2026-08-02,OSRM source code and binaries are not vendored.
SRC_OSRM_DEMO_SERVICE,OSRM public demo service,service,Project OSRM,https://router.project-osrm.org,https://project-osrm.org/docs/v26.4.0/http,service terms not independently archived,,false,,terms_review_required,not_applicable,cached_factual_output_with_osm_attribution_scope_review,data/cache/osrm_response.json,OSRM cached response,metadata_only,2026-08-02,Offline build does not repeatedly query the public service; no future availability guarantee.
SRC_OSRM_CACHE,OSRM response cache,derived_output,Project OSRM / OSM contributors,https://router.project-osrm.org,https://www.openstreetmap.org/copyright,ODbL/OSRM scope review,,true,OpenStreetMap contributors,terms_review_required,terms_review_required,included_with_attribution_and_scope_review,data/cache/osrm_response.json,supplier_dc.csv;dc_market.csv,scope_review,2026-08-02,Contains routing response values, not a copy of the full OSM database.
SRC_CITY_STATISTICS,City statistics webpages,factual_web_extraction,municipal/statistical publishers,https://www.stats.gov.cn/,,,false,,terms_review_required,not_applicable,factual_extraction_only_terms_review_required,metadata/source_recovery_register.csv,market_params.csv,metadata_only,2026-08-02,Only URLs, factual values, and verification metadata are retained; no webpage copy is redistributed.
SRC_STEEL_PRICE_PAGES,Steel price webpages,factual_web_extraction,market-data publishers,https://www.mysteel.com/,,,,false,,terms_review_required,not_applicable,factual_extraction_only_terms_review_required,metadata/source_recovery_register.csv,market_params.csv,metadata_only,2026-08-02,Original publisher terms continue to apply; no full page or table is redistributed.
SRC_WAREHOUSE_RENT_PAGES,Warehouse rent webpages,factual_web_extraction,CBRE / 58.com,https://www.cbre.com.cn/,https://www.58.com/,,,,false,,terms_review_required,not_applicable,factual_extraction_only_terms_review_required,metadata/source_recovery_register.csv,dc_params.csv,metadata_only,2026-08-02,Listing and market pages are retained only as source URLs and factual calibration observations.
SRC_CALIBRATION_WORKBOOK,Original recovery workbook,source_metadata,Zeyu Pei,,,,,,,not_applicable,not_applicable,not_redistributed,source_recovery_inputs outside repository,metadata/source_recovery_register.csv,metadata_only,2026-08-02,Workbook remains outside repository; its filename and SHA-256 are recorded in the register.
SRC_NOMINATIM_GEOCODING,Nominatim geocoding service,service,OpenStreetMap Foundation,https://nominatim.openstreetmap.org/,https://operations.osmfoundation.org/policies/nominatim/,OpenStreetMap data / ODbL scope review,,true,OpenStreetMap contributors; Nominatim service,terms_review_required,terms_review_required,cached_factual_output_with_osm_attribution_scope_review,data/cache/v0.2-candidate/geocoding;metadata/v0.2_candidate_geocoding_log.csv,exploratory candidate-location screening,metadata_only,2026-08-02,One explicit small-scale run; no accepted coordinate was written.
